time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,reward
0.06,0.0,0.0,1.998887578711136,0.0,0.0,0.0,0.0,0.0,-0.03708110782463918,0.0,0.0,0.0,390.99965883165277,390.99965883165277,390.99965883165277,390.99965883165277,-0.5
0.12000000000000001,0.0,0.0,1.9956253719138133,0.0,0.0,0.0,0.0,0.0,-0.07166057898119385,0.0,0.0,0.0,391.8877007167878,391.8877007167878,391.8877007167878,391.8877007167878,-0.5
0.18,0.0,0.0,1.9893259079928691,0.0,0.0,0.0,0.0,0.0,-0.13832698880424432,0.0,0.0,0.0,380.3773641400775,380.3773641400775,380.3773641400775,380.3773641400775,-0.5
0.23999999999999996,0.0,0.0,1.9789068351072274,0.0,0.0,0.0,0.0,0.0,-0.2089853764646435,0.0,0.0,0.0,378.9386947264637,378.9386947264637,378.9386947264637,378.9386947264637,-0.5
0.3,0.0,0.0,1.9642697020925992,0.0,0.0,0.0,0.0,0.0,-0.2789331710338439,0.0,0.0,0.0,379.22824976866576,379.22824976866576,379.22824976866576,379.22824976866576,-0.5
0.36000000000000004,0.0,0.0,1.9458854221432542,0.0,0.0,0.0,0.0,0.0,-0.33389034919476623,0.0,0.0,0.0,384.7041637688071,384.7041637688071,384.7041637688071,384.7041637688071,-0.5
0.4200000000000001,0.0,0.0,1.9239171261835804,0.0,0.0,0.0,0.0,0.0,-0.39840609599220717,0.0,0.0,0.0,381.28542789035464,381.28542789035464,381.28542789035464,381.28542789035464,-0.5
0.48000000000000015,0.0,0.0,1.8981655880481567,0.0,0.0,0.0,0.0,0.0,-0.46000091793186665,0.0,0.0,0.0,382.3979912904829,382.3979912904829,382.3979912904829,382.3979912904829,-0.5
0.5400000000000001,0.0,0.0,1.869072300717923,0.0,0.0,0.0,0.0,0.0,-0.5097959352480997,0.0,0.0,0.0,386.70532873601434,386.70532873601434,386.70532873601434,386.70532873601434,-0.5
0.6000000000000002,0.0,0.0,1.8365019136541325,0.0,0.0,0.0,0.0,0.0,-0.5759141677451723,0.0,0.0,0.0,380.86955112587464,380.86955112587464,380.86955112587464,380.86955112587464,-0.5
0.6600000000000003,0.0,0.0,1.8000658777147291,0.0,0.0,0.0,0.0,0.0,-0.6386528756807681,0.0,0.0,0.0,382.1753656079822,382.1753656079822,382.1753656079822,382.1753656079822,-0.5
0.7200000000000003,0.0,0.0,1.7598602769103615,0.0,0.0,0.0,0.0,0.0,-0.7015698507220044,0.0,0.0,0.0,382.19461743628034,382.19461743628034,382.19461743628034,382.19461743628034,-0.5
0.7800000000000004,0.0,0.0,1.7161739801651261,0.0,0.0,0.0,0.0,0.0,-0.754673201601926,0.0,0.0,0.0,385.8235796335987,385.8235796335987,385.8235796335987,385.8235796335987,-0.5
0.8400000000000004,0.0,0.0,1.6695329789596343,0.0,0.0,0.0,0.0,0.0,-0.8000571685262249,0.0,0.0,0.0,388.6653495555528,388.6653495555528,388.6653495555528,388.6653495555528,-0.5
0.9000000000000005,0.0,0.0,1.6203325704718121,0.0,0.0,0.0,0.0,0.0,-0.8399846400668447,0.0,0.0,0.0,390.67802878411715,390.67802878411715,390.67802878411715,390.67802878411715,-0.5
0.9600000000000005,0.0,0.0,1.5698301490525384,0.0,0.0,0.0,0.0,0.0,-0.8434319243940984,0.0,0.0,0.0,403.4586219897027,403.4586219897027,403.4586219897027,403.4586219897027,-0.5
1.0200000000000005,0.0,0.0,1.5194907243606475,0.0,0.0,0.0,0.0,0.0,-0.8345424127869411,0.0,0.0,0.0,407.6735327943766,407.6735327943766,407.6735327943766,407.6735327943766,-0.5
1.0800000000000005,0.0,0.0,1.4700463147950815,0.0,0.0,0.0,0.0,0.0,-0.813589519854383,0.0,0.0,0.0,411.73315467014305,411.73315467014305,411.73315467014305,411.73315467014305,-0.5
1.1400000000000006,0.0,0.0,1.4219676530399943,0.0,0.0,0.0,0.0,0.0,-0.7890153565426608,0.0,0.0,0.0,412.91476338628746,412.91476338628746,412.91476338628746,412.91476338628746,-0.5
1.2000000000000006,0.0,0.0,1.3748086794552277,0.0,0.0,0.0,0.0,0.0,-0.7829462830873531,0.0,0.0,0.0,406.62653930145416,406.62653930145416,406.62653930145416,406.62653930145416,-0.5
1.2600000000000007,0.0,0.0,1.3280399369632898,0.0,0.0,0.0,0.0,0.0,-0.776007097245694,0.0,0.0,0.0,406.91305599134876,406.91305599134876,406.91305599134876,406.91305599134876,-0.5
1.3200000000000007,0.0,0.0,1.28181458856068,0.0,0.0,0.0,0.0,0.0,-0.7648303559214948,0.0,0.0,0.0,408.34096802557383,408.34096802557383,408.34096802557383,408.34096802557383,-0.5
1.3800000000000008,0.0,0.0,1.2358208111982958,0.0,0.0,0.0,0.0,0.0,-0.7682978620412456,0.0,0.0,0.0,403.33000163371884,403.33000163371884,403.33000163371884,403.33000163371884,-0.5
1.4400000000000008,0.0,0.0,1.1897141884264073,0.0,0.0,0.0,0.0,0.0,-0.7685897584090003,0.0,0.0,0.0,404.42350485345946,404.42350485345946,404.42350485345946,404.42350485345946,-0.5
1.5000000000000009,0.0,0.0,1.143583165203744,0.0,0.0,0.0,0.0,0.0,-0.7691113638032894,0.0,0.0,0.0,404.34534303408293,404.34534303408293,404.34534303408293,404.34534303408293,-0.5
1.560000000000001,0.0,0.0,1.0977385340616364,0.0,0.0,0.0,0.0,0.0,-0.7590363097170679,0.0,0.0,0.0,407.95685561104614,407.95685561104614,407.95685561104614,407.95685561104614,-0.5
